央视,#genre#
CCTV风云音乐,http://111.20.40.163/PLTV/88888893/224/3221226953/index.m3u8
CCTV风云剧场,http://111.20.40.165/PLTV/88888893/224/3221226950/index.m3u8
CCTV电视指南,http://111.20.40.163/PLTV/88888893/224/3221226987/index.m3u8
CCTV兵器科技,http://111.20.40.163/PLTV/88888893/224/3221226975/index.m3u8

电影,#genre#
金马影院,https://pull.kktv8.com/livekktv/128600025.flv
开心影院,http://pull.kktv8.com/livekktv/128600025.flv
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8?zzhed
避风港影院,http://maomao.kandiantv.cn/douyu1.php?id=9826611
张国荣影院,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5102354727/150/index.m3u8?&encrypt=1
平泉影院频道,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8
梁朝伟影院,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100144102/150/01.m3u8?&HlsSubType=&encrypt=
淮安影院娱乐,http://live1.habctv.com/ysylsl/sd/live.m3u8?zjiangsd
星光影院 8M,http://cntv.dfkj.live/bestv.php?id=xgyy8m/8000000
特辑影院,http://epg.112114.xyz/douyu/3637778
特辑影院,http://api3.52tb.xyz/info?id=1005&token=20230402fxrjwi
苹果影院,http://maomao.kandiantv.cn/douyu1.php?id=2793084
桃花影院,http://maomao.kandiantv.cn/douyu1.php?id=7305938
邦德影院,http://maomao.kandiantv.cn/douyu1.php?id=9292499
刀刀影院,http://maomao.kandiantv.cn/douyu1.php?id=747764
奶虫影院,http://maomao.kandiantv.cn/douyu1.php?id=263824
花卷影院,http://maomao.kandiantv.cn/douyu1.php?id=52787
特辑电影院,https://epg.112114.xyz/douyu/3637778
避风港电影院,http://diyp.112114.xyz/douyu/9826611
怡寳影院,http://43.138.170.29:35455/douyu/434971
漫威影院,http://maomao.kandiantv.cn/douyu1.php?id=6140589
漫威影院,http://mmitv.top/test/douyu.php?id=6140589
央视2023春晚,https://hnzy.bfvvs.com/play/Le3Krwne/index.m3u8
央视台球,http://111.20.40.162/PLTV/88888893/224/3221226956/index.m3u8
央视文化精品,http://211.137.115.109:80/gitv_live/G_CCTV-WENHUA-CQ/G_CCTV-WENHUA-CQ.m3u8
央视精品,http://60.223.255.143:8800/hls/42/index.m3u8
电影,http://pull.kktv8.com/livekktv/99350550.flv
电影,http://159.75.85.63:35455/huya/11602058
百视电影,https://bp-caster.bestv.com.cn/91/3/video.m3u8
老电影,https://bp-caster.bestv.com.cn/934/3/video.m3u8
峨眉电影,http://183.223.157.33:85/tsfile/live/1006_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
电影2,http://hls.ye23.vip/wl/huya2205.php?id=11352941
yy电影2,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1382749892
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
CHC家庭影院,https://epg.pw/stream/813b902c76009baec09d0d0a2b8300ff7ad473e7e88af74870ec04eee46694b0.m3u8
chc动作电影,https://epg.pw/stream/02a582fc67bfff3762422afd2afafd15a346db899ab08ec26b328ce146665b2e.m3u8
chc高清电影,https://epg.pw/stream/d395483979a7e9025cb58bb0edb1acc4674620419d928202014f223505c2a693.m3u8
浙江教科影院,http://hw-m-l.cztv.com/channels/lantian/channel04/720p.m3u8?zzhed
浙江教科影院,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8?zzhed
欧美影院,http://www.51romzj.love:35455/huya/21059574

卫视,#genre#
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8?blog.ntnas.top
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=ae2602211677512990
浙江卫视HD,http://hw-m-l.cztv.com/channels/lantian/channel001/720p.m3u8
河南卫视,http://223.241.247.214:85//tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://a54b1deee602c6ce55d8a72a1b3b94dd.livehwc3.cn/liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=121612aa9d787200764bbca16
延边卫视 (720p),http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
湖北卫视,http://live.cjyun.org/video/s10008-hbws08/index.m3u8
山东卫视,http://223.241.247.214:85//tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视|回看,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?WithCaption
安徽卫视,http://ahhsdb.chinashadt.com:1936/live/stream:hs1.stream/playlist.m3u8
云南卫视,http://61.130.72.18:8888/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://61.130.72.18:8888/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://223.241.247.214:85//tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://223.241.247.214:85//tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视高清,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=09d3dc5a1682244238
江西卫视,http://223.241.247.214:85//tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://111.20.40.164/PLTV/88888893/224/3221226893/index.m3u8
山东教育卫视,http://livewai.sdetv.com.cn/live/da4ebbb91ee8468db5a9d230a535391f_transios/playlist.m3u8

香港,#genre#
香港卫视[1024*576],http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0VIUTV
香港卫视文旅台,http://myun-hw-s3.myun.tv/melj80jz/lxx27bol/1551285536499984128.m3u8
凤凰卫视香港台,http://113.117.74.24:8081/hls/38/index.m3u8
凤凰香港,http://113.117.74.26:8081/hls/38/index.m3u8
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist_w574891203.m3u8
香港喜剧大全,http://hls.ye23.vip/wl/huya2205.php?id=23865080
香港电影东方巨龙,https://txmov2.a.kwimgs.com/bs3/video-hls/5198561438868646539_hlsb.m3u8
复仇（香港）,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339284438461971_hlsb.m3u8
TVB星河,http://113.117.74.50:8081/hls/135/index.m3u8
TVB星河频道,http://113.117.74.27:8081/hls/135/index.m3u8
TVB财经体育资讯台,http://27.102.128.25:8080/live/grace-tvbcj.m3u8


